ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_is_cornerstone,Meta: _yoast_wpseo_content_score,Meta: _download_type,Meta: _yoast_wpseo_focuskw_text_input,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _wpas_done_all
1023,simple,,Gw44208,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44208-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44208-spec-300x162.png"" alt="""" width=""300"" height=""162"" class=""alignnone size-medium wp-image-1024"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44208,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44208.jpg,,,,,,,,,0,14,,30,,,,,,,
1026,simple,,Gw44209,1,0,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP56 - INTERNAL DIMENSIONS 300X220X120 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44209-spec-1.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44209-spec-1-300x157.png"" alt="""" width=""300"" height=""157"" class=""alignnone size-medium wp-image-1028"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44209",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44209.jpg,,,,,,,,,0,,,30,,,,,,,
1030,simple,,Gw44210,1,0,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP56 - INTERNAL DIMENSIONS 380X300X120 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44210-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44210-spec-300x165.png"" alt="""" width=""300"" height=""165"" class=""alignnone size-medium wp-image-1036"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Enclosure, Gewiss",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44210-1.jpg,,,,,,,,,0,14,,30,,,,,,,
1033,simple,,Gw44211,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44211.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44211-300x164.png"" alt="""" width=""300"" height=""164"" class=""alignnone size-medium wp-image-1034"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Enclosure, Gewiss, gw44211",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44211.jpg,,,,,,,,,0,14,,30,,,,,,,
1037,simple,,Gw44214,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44214.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44214-300x164.png"" alt="""" width=""300"" height=""164"" class=""alignnone size-medium wp-image-1038"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44214,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44214.jpg,,,,,,,,,0,14,,30,,,,,,,
1040,simple,,gw44215,1,0,visible,JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 120X80X120 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44215.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44215-300x158.png"" alt="""" width=""300"" height=""158"" class=""alignnone size-medium wp-image-1041"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44215,,https://www.derrywood.com/wp-content/uploads/2017/06/Gw44215.jpg,,,,,,,,,0,14,,30,,,,,,,
1043,simple,,Gw44216,1,0,visible,"JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 150X110 X140 - SMOOTH WALLS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44216.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44216-300x166.png"" alt="""" width=""300"" height=""166"" class=""alignnone size-medium wp-image-1045"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"enclosures, Gewiss, gw44216",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44216.jpg,,,,,,,,,0,14,,30,,,,,,,
1046,simple,,Gw44217,1,0,visible,JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 190X140X140 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44217.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44217-300x160.png"" alt="""" width=""300"" height=""160"" class=""alignnone size-medium wp-image-1047"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44217,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44217.jpg,,,,,,,,,0,14,,30,,,,,,,
1049,simple,,Gw44218,1,0,visible,JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 240X190X160 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44218.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44218-300x161.png"" alt="""" width=""300"" height=""161"" class=""alignnone size-medium wp-image-1051"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,,,https://www.derrywood.com/wp-content/uploads/2017/06/gw44218.jpg,,,,,,,,,0,14,,30,,,,,,,
1052,simple,,Gw44219,1,0,visible,"JUNCTION BOXES WITH DEEP SCREWED LID - IP56 - INTERNAL DIMENSIONS 300X220X180 - SMOOTH WALLS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44219.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44219-300x151.png"" alt="""" width=""300"" height=""151"" class=""alignnone size-medium wp-image-1053"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44219",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44219.jpg,,,,,,,,,0,14,,30,,,,,,,
