id,title,status,is_featured,brand,iebg price,kellihers price,independence price,EWL price
214,GW60020H,active,1,Gewiss,6.48,6.48,6.94,6.48
215,GW60023H,active,0,Gewiss,6.19,6.19,6.63,6.19
216,GW60026H,active,1,Gewiss,4.67,4.67,5.00,4.67
217,GW60030H,active,1,Gewiss,8.13,8.13,8.71,8.13
218,GW60031H,active,1,Gewiss,9.09,9.09,9.74,9.09
219,GW60034H,active,1,Gewiss,9.89,9.89,10.60,9.89
220,GW60037H,active,1,Gewiss,6.36,6.36,6.81,6.36
221,GW60041H,active,0,Gewiss,11.41,11.41,12.23,11.41
222,GW60042H,active,0,Gewiss,12.00,12.00,12.86,12.00
223,GW60060H,active,1,Gewiss,99.50,99.50,87.47,99.50
224,GW60061H,active,1,Gewiss,103.97,103.97,91.40,103.97
225,GW60065,active,1,Gewiss,7.10,7.10,7.10,7.10
226,GW60066,active,0,Gewiss,6.14,6.14,6.14,6.14
227,GW60067,active,1,Gewiss,7.10,7.10,7.10,7.10
228,GW60068,active,1,Gewiss,7.30,7.30,7.30,7.30
229,GW60069,active,1,Gewiss,8.46,8.46,8.46,8.46
230,GW60070,active,0,Gewiss,7.37,7.37,7.37,7.37
231,GW60071,active,0,Gewiss,8.46,8.46,8.46,8.46
232,GW60072,active,1,Gewiss,6.65,6.65,6.65,6.65
233,GW60073,active,0,Gewiss,6.65,6.65,6.65,6.65
234,GW60074,active,1,Gewiss,7.37,7.37,7.37,7.37
235,GW60075,active,0,Gewiss,6.14,6.14,6.14,6.14
236,GW60076,active,1,Gewiss,7.37,7.37,7.37,7.37
237,GW60077,active,1,Gewiss,7.37,7.37,7.37,7.37
238,GW60078,active,0,Gewiss,7.51,7.51,7.51,7.51
239,GW60079,active,0,Gewiss,7.37,7.37,7.37,7.37
240,GW60080,active,1,Gewiss,8.26,8.26,8.26,8.26
241,GW60081,active,0,Gewiss,6.65,6.65,6.65,6.65
242,GW60223,active,1,Gewiss,10.44,10.44,10.44,10.44
243,GW60226,active,0,Gewiss,8.46,8.46,8.46,8.46
244,GW60230,active,0,Gewiss,10.58,10.58,10.58,10.58
245,GW60231,active,1,Gewiss,12.22,12.22,12.22,12.22
246,GW60234,active,0,Gewiss,14.33,14.33,14.33,14.33
247,GW60237,active,0,Gewiss,13.79,13.79,13.79,13.79
248,GW60241,active,0,Gewiss,14.54,14.54,14.54,14.54
249,GW60242,active,1,Gewiss,15.90,15.90,15.90,15.90
250,GW60263,active,0,Gewiss,1.43,1.43,1.43,1.43
251,GW60264,active,1,Gewiss,1.57,1.57,1.57,1.57
252,GW60265,active,0,Gewiss,1.71,1.71,1.71,1.71
253,GW60266,active,1,Gewiss,1.91,1.91,1.91,1.91
254,GW60267,active,0,Gewiss,1.98,1.98,1.98,1.98
255,GW60401,active,0,Gewiss,4.65,4.65,5.86,4.65
256,GW60404,active,0,Gewiss,5.80,5.80,5.80,5.80
257,GW60408,active,1,Gewiss,6.21,6.21,6.21,6.21
258,GW60409,active,0,Gewiss,7.58,7.58,7.58,7.58
259,GW60412,active,1,Gewiss,10.58,10.58,10.58,10.58
260,GW60415,active,0,Gewiss,7.99,7.99,7.99,7.99
261,GW60419,active,0,Gewiss,8.94,8.94,8.94,8.94
262,GW60420,active,0,Gewiss,9.83,9.83,9.83,9.83
263,GW60423,active,1,Gewiss,11.53,11.53,11.53,11.53
264,GW60426,active,1,Gewiss,7.89,7.89,9.62,7.89
265,GW60430,active,0,Gewiss,11.40,11.40,11.40,11.40
266,GW60431,active,1,Gewiss,10.13,10.13,12.42,10.13
267,GW60434,active,0,Gewiss,15.90,15.90,15.90,15.90
268,GW60437,active,0,Gewiss,11.31,11.31,13.79,11.31
269,GW60441,active,0,Gewiss,14.54,14.54,14.54,14.54
270,GW60442,active,0,Gewiss,12.93,12.93,15.77,12.93
271,GW60460,active,0,Gewiss,89.41,89.41,89.41,89.41
272,GW60461,active,1,Gewiss,101.69,101.69,101.69,101.69
273,GW61048H,active,1,Gewiss,42.80,42.80,52.16,42.80
274,GW61052H,active,1,Gewiss,45.60,45.60,55.58,45.60
275,GW61053H,active,0,Gewiss,50.00,50.00,60.94,50.00
276,GW61448,active,0,Gewiss,27.11,27.11,33.03,27.11
277,GW61452,active,1,Gewiss,35.90,35.90,35.90,35.90
278,GW61453,active,1,Gewiss,31.92,31.92,38.90,31.92
279,GW62001H,active,0,Gewiss,2.73,2.73,2.93,2.73
280,GW62004H,active,0,Gewiss,2.73,2.73,2.93,2.73
281,GW62008H,active,1,Gewiss,6.19,6.19,6.63,6.19
282,GW62009H,active,1,Gewiss,6.80,6.80,7.29,6.80
283,GW62012H,active,0,Gewiss,8.00,8.00,8.57,8.00
284,GW62015H,active,0,Gewiss,8.00,8.00,8.57,8.00
285,GW62019H,active,1,Gewiss,8.45,8.45,9.06,8.45
286,GW62020H,active,0,Gewiss,8.80,8.80,9.43,8.80
287,GW62023H,active,1,Gewiss,8.29,8.29,8.89,8.29
288,GW62026H,active,0,Gewiss,7.93,7.93,8.50,7.93
289,GW62030H,active,1,Gewiss,11.41,11.41,12.23,11.41
290,GW62031H,active,0,Gewiss,12.59,12.59,13.49,12.59
291,GW62034H,active,0,Gewiss,13.89,13.89,14.89,13.89
292,GW62037H,active,0,Gewiss,10.89,10.89,16.74,10.89
293,GW62041H,active,0,Gewiss,15.63,15.63,16.74,15.63
294,GW62042H,active,1,Gewiss,16.27,16.27,17.43,16.27
295,GW62060H,active,1,Gewiss,105.77,105.77,55.29,105.77
296,GW62061H,active,0,Gewiss,129.97,129.97,57.43,129.97
297,GW62064,active,1,Gewiss,8.26,8.26,8.26,8.26
298,GW62065,active,1,Gewiss,9.83,9.83,9.83,9.83
299,GW62066,active,0,Gewiss,8.26,8.26,8.26,8.26
300,GW62067,active,0,Gewiss,9.21,9.21,9.21,9.21
301,GW62073,active,1,Gewiss,8.87,8.87,8.87,8.87
