product_model,product_link,image_found,pdf_found,desc_found
GW60415,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60415,True,True,False
GW60419,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60419,True,True,False
GW60420,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60420,True,True,False
GW60423,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60423,True,True,False
GW60426,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60426,True,True,False
GW60430,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60430,True,True,False
GW60431,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60431,True,True,False
GW60434,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60434,True,True,False
GW60437,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60437,True,True,False
GW60441,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60441,True,True,False
GW60442,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW60442,True,True,False
GW61445,,False,False,False
GW61448,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW61448,True,True,False
GW61452,https://www.gewiss.com//ww/en/products/experience-catalogue/catalogs/series/product/building/iec-309-hp-range-plugs-and-socket-outlets-iec-309-standards/GW61452,False,False,False
