id,title,status,is_featured,brand,discount,default price,iebg price,kellihers price,independence price,ewl price
375,GW63249H,active,1,Gewiss,0.0,0.0,0,0,0,0
376,GW63253H,active,0,Gewiss,0.0,0.0,0,0,0,0
377,GW63254H,active,1,Gewiss,0.0,0.0,0,0,0,0
378,GW63445,active,0,Gewiss,0.0,0.0,0,0,0,0
379,GW63448,active,1,Gewiss,0.0,35.73,0,0,0,0
380,GW63449,active,1,Gewiss,0.0,0.0,0,0,0,0
381,GW63450,active,0,Gewiss,0.0,0.0,0,0,0,0
382,GW63452,active,1,Gewiss,0.0,0.0,0,0,0,0
383,GW63453,active,0,Gewiss,0.0,37.47,0,0,0,0
384,GW63522,active,1,Gewiss,0.0,40.27,0,0,0,0
385,GW63526,active,0,Gewiss,0.0,0.0,0,0,0,0
386,GW63527,active,1,Gewiss,0.0,41.16,0,0,0,0
387,GW64008,active,1,Gewiss,0.0,0.0,0,0,0,0
388,GW64010,active,0,Gewiss,0.0,0.0,0,0,0,0
389,GW64013,active,1,Gewiss,0.0,0.0,0,0,0,0
390,GW64014,active,1,Gewiss,0.0,0.0,0,0,0,0
391,GW64022,active,1,Gewiss,0.0,38.31,0,0,0,0
392,GW64024,active,1,Gewiss,0.0,33.88,0,0,0,0
393,GW64027,active,1,Gewiss,0.0,0.0,0,0,0,0
394,GW64050,active,0,Gewiss,0.0,0.0,0,0,0,0
395,GW64052,active,1,Gewiss,0.0,0.0,0,0,0,0
396,GW64055,active,0,Gewiss,0.0,0.0,0,0,0,0
397,GW64056,active,0,Gewiss,0.0,0.0,0,0,0,0
398,GW64068,active,0,Gewiss,0.0,0.0,0,0,0,0
399,GW64204,active,0,Gewiss,0.0,12.09,0,0,0,0
400,GW66201N,active,1,Gewiss,0.0,0.0,0,0,0,0
401,GW66204N,active,0,Gewiss,0.0,31.08,0,0,0,0
402,GW66208N,active,0,Gewiss,0.0,0.0,0,0,0,0
403,GW66209N,active,1,Gewiss,0.0,33.03,0,0,0,0
404,GW66212N,active,0,Gewiss,0.0,0.0,0,0,0,0
405,GW66215N,active,0,Gewiss,0.0,35.53,0,0,0,0
406,GW66219N,active,0,Gewiss,0.0,0.0,0,0,0,0
407,GW66220N,active,1,Gewiss,0.0,42.43,0,0,0,0
408,GW66445,active,1,Gewiss,0.0,0.0,0,0,0,0
409,GW66448,active,1,Gewiss,0.0,0.0,0,0,0,0
410,GW66452,active,1,Gewiss,0.0,0.0,0,0,0,0
411,GW66453,active,1,Gewiss,0.0,0.0,0,0,0,0
